currency_pair,data_timestamp,db_timestamp,max,min,mean,vol,fd,_id
GBPCHF,2025-05-01 20:54:20.636208,2025-05-01 21:00:23.990515,1.1042,1.1035,1.1039175438596491,0.0006341053314115481,0.662269129287599,681419285bf39a1b89a5c440
USDJPY,2025-05-01 20:54:20.636208,2025-05-01 21:00:24.029049,145.888,145.804,145.86315789473684,0.0005758822255899764,0.6722689075630253,681419285bf39a1b89a5c441
USDINR,2025-05-01 20:54:20.636208,2025-05-01 21:00:24.057479,84.6682,84.591,84.66621228070176,0.0009118159171223639,1.0,681419285bf39a1b89a5c442
USDCNY,2025-05-01 20:54:20.636208,2025-05-01 21:00:24.077869,7.2706,7.2706,7.2706,0.0,0.0,681419285bf39a1b89a5c443
USDEUR,2025-05-01 21:00:24.107913,2025-05-01 21:06:29.725192,0.8863,0.8861,0.8862037037037036,0.00022568174694386818,1.0,68141a955bf39a1b89a5c696
USDCAD,2025-05-01 21:00:24.107913,2025-05-01 21:06:29.780078,1.3841,1.3838,1.3839833333333331,0.00021676561615640053,0.7675438596491229,68141a955bf39a1b89a5c697
USDGBP,2025-05-01 21:00:24.107913,2025-05-01 21:06:29.801449,0.753,0.7528,0.7529333333333333,0.0002656277669558765,0.6282527881040892,68141a955bf39a1b89a5c698
USDCHF,2025-05-01 21:00:24.107913,2025-05-01 21:06:29.818571,0.8314,0.8309,0.8311685185185185,0.0006015627262823429,0.659432387312187,68141a955bf39a1b89a5c699
USDAUD,2025-05-01 21:00:24.107913,2025-05-01 21:06:29.837268,1.5614,1.5602,1.560875925925926,0.0007687990954745598,0.7014388489208633,68141a955bf39a1b89a5c69a
EURCHF,2025-05-01 21:00:24.107913,2025-05-01 21:06:29.856268,0.938,0.9377,0.9378537037037036,0.00031987931466840593,0.4532871972318339,68141a955bf39a1b89a5c69b
GBPEUR,2025-05-01 21:00:24.107913,2025-05-01 21:06:29.875216,1.1771,1.1764,1.1768888888888889,0.0005947885196375854,0.9761092150170648,68141a955bf39a1b89a5c69c
GBPCHF,2025-05-01 21:00:24.107913,2025-05-01 21:06:29.895175,1.1039,1.1036,1.1037481481481481,0.0002718011355249152,0.8073878627968337,68141a955bf39a1b89a5c69d
USDJPY,2025-05-01 21:00:24.107913,2025-05-01 21:06:29.917589,145.862,145.668,145.74085185185186,0.001331129861908539,1.0,68141a955bf39a1b89a5c69e
USDINR,2025-05-01 21:00:24.107913,2025-05-01 21:06:30.032440,84.7803,84.5514,84.71307962962963,0.0027020620782618175,1.0,68141a965bf39a1b89a5c69f
USDCNY,2025-05-01 21:00:24.107913,2025-05-01 21:06:30.049274,7.2706,7.2706,7.2706,0.0,0.0,68141a965bf39a1b89a5c6a0
USDEUR,2025-05-01 21:06:30.221761,2025-05-01 21:12:30.995829,0.8865,0.8862,0.8863814814814814,0.00033845472436828505,0.9372549019607843,68141bff5bf39a1b89a5c8f3
USDCAD,2025-05-01 21:06:30.221761,2025-05-01 21:12:31.022351,1.3842,1.3839,1.384125925925926,0.00021674328497206695,0.9342105263157895,68141bff5bf39a1b89a5c8f4
USDGBP,2025-05-01 21:06:30.221761,2025-05-01 21:12:31.054860,0.7531,0.753,0.753075925925926,0.00013278873558072706,0.5464684014869888,68141bff5bf39a1b89a5c8f5
USDCHF,2025-05-01 21:06:30.221761,2025-05-01 21:12:31.081859,0.8313,0.8309,0.8311481481481481,0.00048126197584785925,0.44741235392320533,68141bff5bf39a1b89a5c8f6
